Club,Name,Position(s),Base Salary,Guaranteed Compensation
Atlanta United,Thiago Almada,M-F,"$1,650,000.00","$2,332,000.00"
Atlanta United,Osvaldo Alonso,M,"$84,000.00","$84,000.00"
Atlanta United,Mikey Ambrose,D,"$85,444.00","$85,444.00"
Atlanta United,Luiz Araujo,F-M,"$3,600,000.00","$4,480,333.00"
Atlanta United,Ezequiel Barco,M,"$2,200,000.00","$2,200,000.00"
Atlanta United,George Campbell,D,"$98,000.00","$98,000.00"
Atlanta United,Dylan Castanheira,GK,"$85,444.00","$85,444.00"
Atlanta United,Erik Centeno,D,"$65,500.00","$75,276.00"
Atlanta United,Machop Chol,M,"$65,500.00","$65,500.00"
Atlanta United,Ronaldo Cisneros,F,"$244,000.00","$244,000.00"
Atlanta United,Jackson Conway,F,"$84,000.00","$84,000.00"
Atlanta United,Alex De John,D,"$85,444.00","$85,444.00"
Atlanta United,Dom Dwyer,F,"$84,000.00","$84,000.00"
Atlanta United,Alan Franco,D,"$540,000.00","$667,500.00"
Atlanta United,Justin Garces,GK,"$65,500.00","$65,500.00"
Atlanta United,Raul Gudino,GK,"$200,000.00","$247,333.00"
Atlanta United,Andrew Gutman,D,"$300,000.00","$331,250.00"
Atlanta United,Brad Guzan,GK,"$445,716.00","$458,216.00"
Atlanta United,Ronald Hernandez,D,"$300,000.00","$300,000.00"
Atlanta United,Emerson Hyndman,M,"$657,143.00","$657,143.00"
Atlanta United,Franco Ibarra,D-M,"$450,000.00","$520,000.00"
Atlanta United,Brooks Lennon,D,"$500,000.00","$500,000.00"
Atlanta United,Erik Lopez Samaniego,F,"$360,000.00","$528,300.00"
Atlanta United,Josef Martinez,F,"$3,750,000.00","$4,141,667.00"
Atlanta United,Aiden McFadden,D,"$65,500.00","$65,500.00"
Atlanta United,Efrain Morales,D,"$65,500.00","$65,500.00"
Atlanta United,Marcelino Moreno,F-M,"$460,000.00","$568,333.00"
Atlanta United,Edwin Mosquera,M-F,"$300,000.00","$337,000.00"
Atlanta United,Juan Jose Purata,D,"$400,000.00","$483,500.00"
Atlanta United,Rocco Rios-Novo,GK,"$108,000.00","$115,530.00"
Atlanta United,Miles Robinson,D,"$700,000.00","$737,500.00"
Atlanta United,Matheus Rossetto,M,"$550,000.00","$662,500.00"
Atlanta United,Amar Sejdic,M,"$85,444.00","$85,444.00"
Atlanta United,Santiago Sosa,M-F,"$525,000.00","$643,100.00"
Atlanta United,Bryce Washington,D,"$65,500.00","$65,500.00"
Atlanta United,Caleb Wiley,D,"$65,500.00","$67,100.00"
Atlanta United,Tyler Wolff,F-M,"$110,000.00","$114,500.00"
Austin FC,Carlos Asensio,D,"$65,500.00","$65,500.00"
Austin FC,Julio Cascante,D,"$310,000.00","$337,500.00"
Austin FC,Washington Corozo,F,"$300,000.00","$327,500.00"
Austin FC,Moussa Djitte,F,"$550,000.00","$550,000.00"
Austin FC,Sebastian Driussi,F,"$2,200,000.00","$2,317,000.00"
Austin FC,Diego Fagundez,M,"$450,000.00","$450,000.00"
Austin FC,Ethan Finlay,M,"$350,000.00","$350,000.00"
Austin FC,Ruben Gabrielsen,D,"$950,000.00","$950,000.00"
Austin FC,Jon Gallagher,D,"$155,000.00","$155,000.00"
Austin FC,Danny Hoesen,F,"$650,000.00","$716,667.00"
Austin FC,Hector Jimenez,D,"$200,000.00","$200,000.00"
Austin FC,Kipp Keller,D,"$84,000.00","$96,500.00"
Austin FC,Freddy Kleeman,D,"$66,724.00","$66,724.00"
Austin FC,Zan Kolmanic,D,"$300,000.00","$300,000.00"
Austin FC,Damian Las,GK,"$65,500.00","$65,500.00"
Austin FC,Nick Lima,D,"$350,000.00","$350,000.00"
Austin FC,Felipe Martins,M,"$84,000.00","$84,000.00"
Austin FC,Danny Pereira,M,"$84,000.00","$102,258.00"
Austin FC,Tomas Pochettino,M,"$525,000.00","$585,000.00"
Austin FC,William Pulisic,GK,"$66,724.00","$66,724.00"
Austin FC,Rodney Redes,F,"$412,500.00","$412,500.00"
Austin FC,Emiliano Rigoni,M,"$1,846,152.00","$2,294,152.00"
Austin FC,Alexander Ring,M,"$1,500,000.00","$1,640,000.00"
Austin FC,Jhohan Romana,D,"$440,000.00","$440,000.00"
Austin FC,Jared Stroud,M,"$84,000.00","$84,000.00"
Austin FC,Brad Stuver,GK,"$175,000.00","$185,000.00"
Austin FC,Andrew Tarbell,GK,"$300,000.00","$308,333.00"
Austin FC,Maximiliano Urruti,F,"$625,000.00","$661,250.00"
Austin FC,Jhojan Valencia,M,"$355,000.00","$400,125.00"
Austin FC,Owen Wolff,M,"$65,500.00","$78,553.00"
CF Montreal,Jean-Aniel Assi,M,"$66,724.00","$74,104.00"
CF Montreal,Zorhan Bassong,D,"$125,000.00","$137,500.00"
CF Montreal,Zachary Brault-Guillard,D,"$275,000.00","$319,375.00"
CF Montreal,Sebastian Breza,GK,"$84,000.00","$84,000.00"
CF Montreal,Rudy Camacho,D,"$500,000.00","$554,000.00"
CF Montreal,Mathieu Choiniere,M,"$125,000.00","$134,238.00"
CF Montreal,Gabriele Corbo,D,"$120,192.00","$120,192.00"
CF Montreal,Keesean Ferdinand,D,"$89,716.00","$99,936.00"
CF Montreal,Tomas Giraldo,M,"$110,000.00","$121,000.00"
CF Montreal,Ahmed Hamdi,M,"$475,000.00","$572,500.00"
CF Montreal,Sunusi Ibrahim,F,"$200,000.00","$291,250.00"
CF Montreal,Bjorn Johnsen,F,"$1,100,000.00","$1,236,667.00"
CF Montreal,Alistair Johnston,M-D,"$400,000.00","$445,625.00"
CF Montreal,Kei Kamara,F,"$84,000.00","$94,000.00"
CF Montreal,Logan Ketterer,GK,"$84,000.00","$84,000.00"
CF Montreal,Ismael Kone,M,"$65,500.00","$68,125.00"
CF Montreal,Jojea Kwizera,M,"$65,500.00","$65,500.00"
CF Montreal,Lassi Lappalainen,M,"$510,000.00","$540,000.00"
CF Montreal,Djordje Mihailovic,M,"$700,000.00","$751,875.00"
CF Montreal,Matko Miljevic,M,"$545,455.00","$593,364.00"
CF Montreal,Kamal Miller,D,"$300,000.00","$345,000.00"
CF Montreal,Chinonso Offor,F,"$159,996.00","$209,396.00"
CF Montreal,James Pantemis,GK,"$145,000.00","$160,833.00"
CF Montreal,Samuel Piette,M,"$400,000.00","$429,750.00"
CF Montreal,Romell Quioto,F,"$800,000.00","$885,000.00"
CF Montreal,Sean Rea,,"$66,724.00","$74,809.00"
CF Montreal,Nathan-Dylan Saliba,,"$66,724.00","$77,200.00"
CF Montreal,Jonathan Sirois,GK,"$84,000.00","$88,319.00"
CF Montreal,Robert Thorkelsson,D,"$150,000.00","$173,500.00"
CF Montreal,Joaquin Torres,M,"$230,000.00","$279,800.00"
CF Montreal,Mason Toye,F,"$500,000.00","$558,000.00"
CF Montreal,Victor Wanyama,M,"$2,400,000.00","$3,091,667.00"
CF Montreal,Joel Waterman,D,"$125,000.00","$133,909.00"
CF Montreal,Karifa Yao,D,"$85,444.00","$89,933.00"
CF Montreal,Rida Zouhir,M,"$66,724.00","$74,809.00"
Charlotte FC,Harrison Aff ul,D,"$300,000.00","$332,500.00"
Charlotte FC,Jordy Alcivar,M,"$235,000.00","$325,600.00"
Charlotte FC,Adam Armour,D,"$65,500.00","$65,500.00"
Charlotte FC,Benjamin Bender,M,"$65,500.00","$83,000.00"
Charlotte FC,Brandt Bronico,M,"$125,000.00","$134,330.00"
Charlotte FC,Nathan Byrne,F,"$560,000.00","$607,833.00"
Charlotte FC,Guzman Corujo,D,"$600,000.00","$633,500.00"
Charlotte FC,Alan Steven Franco,M,"$480,000.00","$538,300.00"
Charlotte FC,Christian Fuchs,D,"$375,000.00","$375,000.00"
Charlotte FC,McKinze Gaines,F,"$84,000.00","$86,750.00"
Charlotte FC,Christopher Hegardt,M,"$65,500.00","$73,012.00"
Charlotte FC,Derrick Jones,M,"$185,000.00","$207,969.00"
Charlotte FC,Kamil Jozwiak,F-M,"$900,000.00","$1,017,000.00"
Charlotte FC,Kristijan Kahlina,GK,"$425,000.00","$451,875.00"
Charlotte FC,Jaylin Lindsey,D,"$200,000.00","$235,625.00"
