Club,Position(s),Base Salary,Guaranteed Compensation,Name,id,rating,player_image,player_name,country_image,league_image,position,club,league,pace,shooting,passing,dribbling,defending,physical,limit
FC Cincinnati,M,"$1,943,500.00","$2,222,854.00",Luciano Acosta,13bd88de-dbde-11ed-af20-acde48001122,75,,Luciano Acosta,,,CAM,FC Cincinnati,Major League Soccer,79,67,70,82,46,56,1000
FC Cincinnati,M,"$1,943,500.00","$2,222,854.00",Luciano Acosta,13bd88de-dbde-11ed-af20-acde48001122,75,,Luciano Acosta,,,CAM,FC Cincinnati,Major League Soccer,79,67,70,82,46,56,1500
FC Cincinnati,M,"$1,943,500.00","$2,222,854.00",Luciano Acosta,13bd88de-dbde-11ed-af20-acde48001122,75,,Luciano Acosta,,,CAM,FC Cincinnati,Major League Soccer,79,67,70,82,46,56,2000
FC Cincinnati,M,"$1,943,500.00","$2,222,854.00",Luciano Acosta,13bd88de-dbde-11ed-af20-acde48001122,75,,Luciano Acosta,,,CAM,FC Cincinnati,Major League Soccer,79,67,70,82,46,56,2500
FC Cincinnati,M,"$1,943,500.00","$2,222,854.00",Luciano Acosta,13bd88de-dbde-11ed-af20-acde48001122,75,,Luciano Acosta,,,CAM,FC Cincinnati,Major League Soccer,79,67,70,82,46,56,3000
FC Cincinnati,M,"$1,943,500.00","$2,222,854.00",Luciano Acosta,13bd88de-dbde-11ed-af20-acde48001122,75,,Luciano Acosta,,,CAM,FC Cincinnati,Major League Soccer,79,67,70,82,46,56,3500
Charlotte FC,D,"$300,000.00","$332,500.00",Harrison Afful,4fc108ae-dbe5-11ed-af20-acde48001122,69,,Harrison Afful,,,RB,Columbus Crew,Major League Soccer,74,58,66,69,65,70,3000
Charlotte FC,D,"$300,000.00","$332,500.00",Harrison Afful,4fc108ae-dbe5-11ed-af20-acde48001122,69,,Harrison Afful,,,RB,Columbus Crew,Major League Soccer,74,58,66,69,65,70,3500
Columbus Crew,D,"$150,000.00","$150,000.00",Jalil Anibaba,46f1052e-dbe7-11ed-af20-acde48001122,67,,Jalil Anibaba,,,CB,Columbus Crew,Major League Soccer,51,44,55,53,67,75,3000
Columbus Crew,D,"$150,000.00","$150,000.00",Jalil Anibaba,46f1052e-dbe7-11ed-af20-acde48001122,67,,Jalil Anibaba,,,CB,Columbus Crew,Major League Soccer,51,44,55,53,67,75,3500
LAFC,M-F,"$624,000.00","$683,000.00",Cristian Arango,0e9d79f6-dbe1-11ed-af20-acde48001122,72,,Cristian Arango,,,ST,LAFC,Major League Soccer,74,72,64,72,33,67,1000
LAFC,M-F,"$624,000.00","$683,000.00",Cristian Arango,0e9d79f6-dbe1-11ed-af20-acde48001122,72,,Cristian Arango,,,ST,LAFC,Major League Soccer,74,72,64,72,33,67,1500
