Year,URL
 2022 Salary Report,http://s3.amazonaws.com/mlspa/9_2_2022-Roster-Freeze-Salary-List.csv?mtime=20221017131703
 2022 Salary Report,http://s3.amazonaws.com/mlspa/2022_salary_list_4.15__for_site.csv?mtime=20220517164257
 2021 Salary Report,http://s3.amazonaws.com/mlspa/2021-MLSPA-Fall-Salary-release.pdf?mtime=20211020145904
 2020 Salary Report,http://s3.amazonaws.com/mlspa/2020-Fall-Winter-Salary-List-alphabetical.pdf?mtime=20210513131818
 2019 Salary Report,http://s3.amazonaws.com/mlspa/Salary-List-Fall-Release-FINAL-Salary-List-Fall-Release-MLS.pdf?mtime=20190927175823
 2018 Salary Report,http://s3.amazonaws.com/mlspa/2018-09-15-Salary-Information-Alphabetical.pdf?mtime=20190611125547
 2017 Salary Report,http://s3.amazonaws.com/mlspa/September-15-2017-Salary-Information-Alphabetical.pdf?mtime=20180416202256
 2016 Salary Report,http://s3.amazonaws.com/mlspa/September-15-2016-Salary-Information-Alphabetical.pdf?mtime=20180416202344
 2015 Salary Report,http://s3.amazonaws.com/mlspa/September-15-2015-Salary-Information-Alphabetical.pdf?mtime=20180416202358
 2014 Salary Report,http://s3.amazonaws.com/mlspa/September-15-2014-Salary-Information-Alphabetical.pdf?mtime=20180416202413
 2013 Salary Report,http://s3.amazonaws.com/mlspa/September-15-2013-Salary-Information-Alphabetical.pdf?mtime=20180416202425
 2012 Salary Report,http://s3.amazonaws.com/mlspa/2012-10-01-Salary-Information-Alphabetical.pdf?mtime=20190611125245
 2011 Salary Report,http://s3.amazonaws.com/mlspa/2011-09-01-Salary-Information-Alphabetical.pdf?mtime=20190611125323
 2010 Salary Report,http://s3.amazonaws.com/mlspa/2010-08-12-Salary-Information-Alphabetical.pdf?mtime=20190611125347
 2009 Salary Report,http://s3.amazonaws.com/mlspa/2009-09-15-Salary-Information-Alphabetical.pdf?mtime=20190611125405
 2008 Salary Report,http://s3.amazonaws.com/mlspa/2008-10-07-Salary-Information-Alphabetical.pdf?mtime=20190611125423
 2007 Salary Report,http://s3.amazonaws.com/mlspa/2007-08-31-Salary-Information-Alphabetical.pdf?mtime=20190611125445
