conversation_id,full_text
1.59772E+18,"Because of US Soccer's new equal pay agreement, men and women split World Cup prize money.

With the USMNT advancing today, the two teams will each receive $6.5 million minimum.

That's more than the USWNT got for winning both the 2015 and 2019 World Cups combined: $6 million. https://t.co/pGHS7XuGP8"
1.59772E+18,"In February, the USWNT agreed to a settlement with the U.S. Soccer, ending a 6-year lawsuit.

It included a $24M payment and adjustments to how players are compensated going forward — including splitting World Cup prizes.

@owenpoindexter goes in depth ⤵️
https://t.co/KZnCMuZvKU"
1.59772E+18,@FOS Did the men get $6mil after the women’s victories? (Genuinely asking how this works.)
1.59772E+18,"@bentonmunyan @FOS My understanding is that as of February, winnings are split going forward, so if the USWNT wins $50M in the 2023 World Cup (they won't -- there won't be that much prize money) the men would get half."
1.59772E+18,@FOS Generating revenue should matter
1.59772E+18,@FOS the comment section has epically failed the vibe check of this news
1.59772E+18,@FOS @Zeno So you telling me the USMNT and the USWNT had a divorce.
1.59772E+18,@FOS Bruh 🤡
1.59772E+18,@FOS https://t.co/PqosHDKXNP
1.59772E+18,@FOS So pretty much like housewives? So progressive
1.59772E+18,@FOS why don't they play a match for it?
1.59772E+18,@olivertraldi @FOS I see what you did there 🤓
1.59772E+18,@FOS 🤡
1.59772E+18,@FOS https://t.co/VIlYN6TlpZ
1.3536E+18,I think this back and forth explains the differences in men’s and women’s sports and pay gaps. https://t.co/NwJsq8eQSn
1.59772E+18,"@FOS It’s hard for me to express how much I hate this. Pro female soccer players work hard, make sacrifices, etc., but…. You cannot FORCE people to prefer/value one league over another. I will pay more to watch men play because it’s a far better athletic display, simple as that."
1.59772E+18,"@FOS If the Womens World Cup generates a fraction of the revenue that the mens does, how is this fair ?"
1.59772E+18,@FOS Sounds like a divorce settlement: what he owns is ours
1.59772E+18,@FOS Should we not as taxpayers receive a portion of the winnings as well?
1.59772E+18,@FOS Lmfaooo they degrading men. Only in US.
1.59772E+18,@FOS @JSamanthaRivera I love getting paid for things I don’t deserve also
1.59772E+18,@FOS How y'all mad women's team get the same earnings as the men. Yet the women have 4 or 5 World Cup titles
1.59772E+18,"@FOS The total prize pool of the 2019 Women’s World Cup was $30 million. Smaller prize pools = smaller prizes per team. Also, the 2019 USWNT lost to a u-15 boys team."
1.59772E+18,@FOS At this point I and a lot of people don’t understand how this works and we’re scared to ask questions and possibly disagree because u can’t do that now
1.59772E+18,@FOS So you’re saying that men’s brings in more money than women’s?
1.59772E+18,@FOS How’s that compare to other womens national teams in other countries?
1.59772E+18,@FOS A disgrace what have USWNT done to deserve that? Certainly not bring in viewership?
1.59772E+18,@FOS @Morganhimself
1.59772E+18,@FOS Now compare revenues between the men &amp; women over the last 8 years
1.59772E+18,@FOS https://t.co/ZV4BdfpSSF
1.59772E+18,@FOS Do the men get 50% of the individual marketing deals of the women on the national team??
1.59772E+18,@FOS So women’s team just got 6.5 million for sitting at home while the men win. Keep that same energy next year.
1.59772E+18,@FOS Honest question: how much does the women’s World Cup generate in revenue
1.59772E+18,@FOS Genuine question about how this works. Would the men also get a portion from the women's world cup?
1.59772E+18,@FOS Please don’t cancel me. I am trying to understand this a little. https://t.co/FxcIFYvugu
1.59772E+18,"@FOS There's a reason why the two achievements are incomparable. For all the snowflakes who can't wait to label it sexism, it isn't. The ability, quality and skill of the women's game is far inferior. Anyone who argues otherwise is very, very thirsty!"
1.59772E+18,@FOS LFGGGGG
1.59772E+18,@FOS Sigh
1.59772E+18,@FOS A small win for the womens team after getting fucked for so long
1.59772E+18,@FOS @NatetheLawyer
1.59772E+18,@FOS Awful that women's soccer gets to take the men's money. Men's soccer generates more revenue because more people want to watch it world wide. Might as well start paying the WNBA players like the NBA players too while we're at it.
1.59772E+18,@FOS @MattDoyle76 Hmmmm
1.59772E+18,"@FOS ridiculous, if we're being honest"
1.59772E+18,@FOS That's generous of them.
1.59772E+18,@FOS Love seeing men comment about equal pay in a sport they make fun of and care nothing about.
1.59772E+18,@FOS not every player is called up to the national team again... so how do they decide who the money goes to?
1.59772E+18,@FOS @nicolefer_ That’s insane 😳
1.59772E+18,@FOS Just like marriage. Now do NBA lol
1.59772E+18,@FOS So its like they really are one nation. One team. 👍🏾
1.59772E+18,@FOS 🤔
1.59772E+18,"@FOS @Melissa_OU6 Where’s all the feminist at the women’s cup or wnba games? Fill up their stadiums, buy their merchandise and generate the same revenue the men’s teams do and the equal pay is right."
1.59772E+18,@FOS So does this mean because of the split the men will receive less than they would have originally because they have to give a portion of it to the women’s team?
